ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
1,The Harry Potter symphony,2023-02-06 19:00:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153694,"Якщо ви захоплені казковою історією про Гаррі Поттера, тоді ви обов'язково маєте відвідати шоу-концерт ""The Harry Potter Symphony"" 6 лютого у Львівському оперному театрі.",#Оркестр #Новий Рік ,390,1290,2023-02-06 21:00:00
2,Love story. Симфо-шоу,2023-02-13 17:30:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153709,"Незабаром День закоханих, а тому вже час готувати подарунки своїм половинкам. А найкраще, що може бути так це купити квитки на концерт ""BIGSHOW ORCHESTRA"". Якраз вони готують святкову програму ""Love story""  на 13 лютого.",#Оркестр ,290,1490,2023-02-13 19:30:00
3,Світові хіти про кохання,2023-02-14 20:00:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153766,"14 лютого – це День закоханих, який повинен стати для вас та вашої половинки незвичайним. І його легко зробити таким, якщо купити квиток на концерт «Bigshow Orchestra» та «Gaudeamus Choir». Це неймовірне та ідеальне об’єднання різних культурних світів, класики та сучасності, року, хору та оркестру.",,290,1490,2023-02-14 22:00:00
4,СКАЙ у супроводі симфонічного оркестру,2023-02-28 16:00:00,230,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/72026,"Як провести дозвілля з користю та з можливістю відпочити? Добре, що у нас є відповідь — сходити на концерт гурту ""СКАЙ"" та симфонічного оркестру у Львові 28 лютого.",,495,1395,2023-02-28 19:50:00
5,Арсен Мірзоян. Великий весняний концерт,2023-03-06 19:00:00,230,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/71126,"Арсен Мірзоян – український співак вірменського походження, якого ще називають сталевим голосом України. Та це зовсім не дивує! Якщо ви чули пісні у виконанні Арсена, зрозумієте, чому так говорять. Й так! З цим співаком зустрічати весну – гарна ідея.",,395,1395,2023-03-06 22:50:00
6,"Концерт-Трилогія ""Володар Перснів"" від LUMOS Orchestra",2023-03-14 19:00:00,120,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100154018,"На сцені Львівської Опери 30 січня відбудеться фантастичний концерт від симфонічного оркестру LUMOS Orchestra під назвою «Володар Перснів». Так, так! Вам не почулося! На цей раз славетний оркестр підготував показ найуспішнішого їх проєкту, створеного на основі творчості Дж.Р.Р. Толкіна.",#Оркестр ,590,1390,2023-03-14 21:00:00
7,СКАЙ у супроводі симфонічного оркестру,2023-02-28 16:00:00,230,Львівська національна опера,"м. Львів, пр-т Свободи, 28",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/72026,"Як провести дозвілля з користю та з можливістю відпочити? Добре, що у нас є відповідь — сходити на концерт гурту ""СКАЙ"" та симфонічного оркестру у Львові 28 лютого.",,495,1395,2023-02-28 19:50:00
8,Музика Голлівуду – Світові хіти,2023-02-13 16:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153672,Розкішний концерт Музика Голлівуду – Світові хіти,,250,690,2023-02-13 18:00:00
9,"Єгор Грушин – презентація нового альбому ""In Time""",2023-02-14 16:30:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153671,"Піаніст і композитор Єгор Грушин збирає шанувальників неокласичної музики у Національному драматичному театрі ім. М. Заньковецької у Львові 14 лютого, щоб презентувати свій новий альбом «In time».",,250,690,2023-02-14 18:30:00
10,"Іво Бобул - І буде день, і буде перемога!",2023-02-27 16:30:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153669,27 лютого у Львові на сцені Національного драматичного театру імені Марії Заньковецької заспіває український співак і композитор Іво Бобул за концертною програмою «І буде де,,310,750,2023-02-27 18:00:00
11,"Волинський народний хор. Вперед, соколи",2023-03-28 18:30:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100154005,"На сцені Національного театру ім. М. Заньковецької у Львові виступить відомий український Волинський хор з войовничою програмою ""Вперед, соколи!"" 28 березня. І роблять вони це заради наших славетних воїнів зі ЗСУ. Тому з кожного купленого квитка частина грошей піде на потреби українській армії.",,240,580,2023-03-28 20:30:00
12,СКАЙ НАПРОЛОМ,2023-04-17 19:00:00,230,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/71664,"Національний драматичний театр імені Марії Заньковецької запрошує жителів та гостей Львову 17 квітня на концерт відомого рок-гурту ""СКАЙ"". В цей день вони презентують свій новий альбом ""Напролом"", а, отже, ви будете співати нові хіти, які були написані за останній час творчою командою.",,295,1395,2023-04-17 22:50:00
13,МЕРІ — До дня всіх закоханих,2023-02-14 19:00:00,120,Центр Довженка,"пр-т Червоної Калини, 81",https://widget.kontramarka.ua/uk/widget193site1001/widget/event/100153779,14 лютого 2023 року у Центрі Довженка відбудеться найромантичніший концерт до Дня святого Валентина від  Віктора Винника і гурту М,,290,540,2023-02-14 21:00:00
14,Павло Доскоч,2023-02-18 19:00:00,230,Центр Довженка,"пр-т Червоної Калини, 81",https://widget.kontramarka.ua/uk/widget193site11278/widget/event/68782,Чому варто піти на концерт Павла Доскоча у Львові?,,200,350,2023-02-18 22:50:00
