ID,Name,Link,Address,Coordinates,Open time,Close time,Average price,Overall price level
1,Smaki Maki,https://glovoapp.com/ua/uk/lviv/smaki-maki-lvi/,"Hetmana Mazepy St, 11, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8696054, 'lng': 24.0263964}",00:00:00,12:00:00,184.0,High
2,Kebab Chef / Кебаб Шеф,https://glovoapp.com/ua/uk/lviv/kebab-chef-lvi/,"Stepana Bandery St, 23, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.83445829999999, 'lng': 24.0148553}",10:00:00,22:00:00,145.0,Medium-High
3,Kazbegi / Казбегі,https://glovoapp.com/ua/uk/lviv/kazbegi-lvi/,"1 V.gorgasali St, Stepantsminda 4700, Georgia","{'lat': 42.6590035, 'lng': 44.65085649999999}",00:00:00,12:00:00,182.0,Medium-High
4,I love kebab / Я люблю кебаб,https://glovoapp.com/ua/uk/lviv/ya-lyublyu-kebab-lvi/,"біля входу в обласну лікарню, Yuriia Rufa St, 4а, L'viv, L'vivs'ka oblast, Ukraine, 79010","{'lat': 49.8383146, 'lng': 24.0491351}",09:00:00,21:00:00,74.0,Low
5,KREDENS CAFE,https://glovoapp.com/ua/uk/lviv/kredens-cafe-lvi/,"Valova St, 5, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8396839, 'lng': 24.0317553}",08:00:00,22:00:00,82.0,Low
6,King Kebab / Кінг Кебаб,https://glovoapp.com/ua/uk/lviv/kingkebab-lvi/,"Symona Petliury St, 11, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8229887, 'lng': 23.97934189999999}",10:30:00,23:00:00,97.0,Medium-Low
7,Origami,https://glovoapp.com/ua/uk/lviv/origami-lvi/,"Hutorivka St, 40а, L'viv, L'vivs'ka oblast, Ukraine, 79070","{'lat': 49.8020134, 'lng': 24.0530745}",10:00:00,22:00:00,211.0,High
8,Puzata Hata / Пузата Хата,https://glovoapp.com/ua/uk/lviv/puzata-hata-lvi/,"Shevchenka Ave, 10, L'viv, L'vivs'ka oblast, Ukraine, 79005","{'lat': 49.837312, 'lng': 24.0312238}",09:00:00,20:00:00,70.0,Low
9,New York Street Pizza,https://glovoapp.com/ua/uk/lviv/new-york-street-pizza-lvi/,"Volodymyra Velykoho St, 51, L'viv, L'vivs'ka oblast, Ukraine, 79053","{'lat': 49.8099751, 'lng': 24.0013611}",10:00:00,21:00:00,98.0,Medium-Low
10,Express Buffet,https://glovoapp.com/ua/uk/lviv/express-buffet-lvi/,"Zubrivska St, 38, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.79513850000001, 'lng': 24.0591875}",10:00:00,22:00:00,56.0,Low
11,BIBLIOTEKA resto-bar / Бібліотека ресто-бар,https://glovoapp.com/ua/uk/lviv/restor-bar-biblioteka-lvi/,"Zamarstynivska St, 4, L'viv, L'vivs'ka oblast, Ukraine, 79019","{'lat': 49.84786460000001, 'lng': 24.0280091}",15:00:00,23:59:00,258.0,High
12,Love & Lviv family restaurant,https://glovoapp.com/ua/uk/lviv/lovelviv-lvi/,"Stryiska St, 66, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8212337, 'lng': 24.0201731}",10:00:00,21:00:00,165.0,Medium-High
13,YoYo cafe,https://glovoapp.com/ua/uk/lviv/love-lviv-cafe-lvi/,"Serbska St, 7, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8410222, 'lng': 24.03330189999999}",00:00:00,12:00:00,90.0,Low
14,Lviv кава,https://glovoapp.com/ua/uk/lviv/lviv-kava-lvi/,"Rynok Square, 10, L'viv, L'vivs'ka oblast, Ukraine, 79008","{'lat': 49.8416412, 'lng': 24.0327918}",09:00:00,23:00:00,66.0,Low
15,McDonald's,https://glovoapp.com/ua/uk/lviv/mcdonald-s-lvi/,"Shevchenka Ave, 7, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8380984, 'lng': 24.0314784}",07:00:00,22:00:00,75.0,Low
16,SushiHo / СушіХо,https://glovoapp.com/ua/uk/lviv/sushiho-lvi/,"Staryts'koho St, 2, L'viv, L'vivs'ka oblast, Ukraine, 79000","{'lat': 49.8339903, 'lng': 24.0104971}",11:00:00,21:00:00,212.0,High
